dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	19	7	25	-15.73217802	398.383141	-11.02714683	382.6523724	-19.81694623	339.7549237	-59.66393909	346.5592052	492.5017767	216.6235995	528.7456909	154.8670217	516.4305326	-356.5676576	499.048401	-445.2685032	6.086881905	-1489.39888
passiflora	actinia		left	20	6	25	24.74388396	432.2864459	36.1494232	417.4808762	18.99680324	394.830524	-11.06437009	406.9033003	438.1251988	263.1711417	481.2556518	203.9167173	532.7117301	-500.6890208	518.5329931	-560.6827863	14.8212776	-1309.832479
passiflora	actinia		left	21	5	25	20.19411213	441.445208	25.42516123	419.8565531	13.11918149	383.1613627	-43.84033875	362.1000723	544.9965003	234.1450731	579.0298369	176.9035569	591.1046883	-395.6893466	545.0341641	-463.3789532	-47.25482483	-1401.280241
passiflora	actinia		left	22	4	25	5.345244398	373.2142944	10.66367108	350.6509782	-1.861516541	327.428788	-46.68149768	353.4681599	593.1372415	226.0747299	639.7763373	158.4249585	672.9935137	-435.4086771	662.0841667	-507.9296378	67.0982266	-1171.985426
passiflora	actinia		left	23	3	25	6.687269333	339.8227798	12.03920453	322.3674085	15.30056754	263.7559072	-28.52714172	297.2846371	476.8289152	326.2105772	531.298732	280.9784429	706.7606253	-430.4531896	696.1623316	-532.7960366	67.66364428	-1270.517033
passiflora	actinia		left	24	2	25	-22.61824908	373.2836167	-17.65866623	354.4581903	-10.07663595	263.528632	-63.57423059	350.6564196	557.8825899	164.921937	595.4942005	100.869297	671.9371541	-380.8237203	654.3110319	-448.6010607	103.6201876	-1262.790623
passiflora	actinia		left	25	1	25	-26.08135824	450.6274939	-15.17393612	412.7676589	-3.979283105	305.3019306	-105.2167194	421.4932573	595.6366133	97.57667051	644.086425	24.63155228	595.5638062	-507.800114	544.048655	-583.7270001	74.99534404	-929.7045774
passiflora	alata		left	1	15	15	18.7069403	468.3382567	11.92297719	407.1670154	-15.37975932	311.7364118	-92.20612378	428.6228306	406.3340629	71.7662459	406.8860258	32.07393441	475.882288	-345.2616702	468.5579193	-422.4731136	134.2791087	-1638.734677
passiflora	alata		left	2	14	15	83.01770924	415.7022164	74.7125735	387.4769473	53.57797893	347.6126333	-15.4745273	336.7073135	516.8335099	162.701693	530.6679373	109.7820694	554.4385231	-222.0830285	530.2942165	-316.2348191	-20.8774043	-1514.971978
passiflora	alata		left	3	13	15	-61.43068165	445.6999474	-55.63237714	430.2272404	-23.97751789	308.7870323	-76.16410096	384.8875379	643.9055669	59.07495953	640.6494496	-4.986343159	626.6045673	-350.5878303	609.5339946	-477.287888	43.53378222	-1261.298291
passiflora	alata		left	4	12	15	39.92462418	526.6998884	40.97898349	511.5283694	37.30150323	411.9230127	-1.394082619	343.0473306	551.9053736	-10.14382381	510.1877062	-104.3718069	527.0242257	-223.0961414	510.7878414	-329.6250644	-51.16606174	-1235.319196
passiflora	alata		left	11	5	15	23.3010991	419.2769211	21.68866949	407.9070525	29.37216441	305.0592693	5.032150826	285.0044344	466.0214042	251.0997758	495.3102935	195.9125791	567.2913061	-317.208046	554.4018125	-417.9111762	-74.67536597	-1444.129251
